X,Y,OBJECTID,Asset_ID,Asset_Grou,Community,Address,Location,Short_ID,Asset_Clas,Asset_Cl00
130.859460036282542,-12.376390034731333,1,PlayEquip 2,Exercise Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",Nightcliff Foreshore,Nightcliff Foreshore 2,57,Playgrounds
130.846947324141354,-12.449044853066191,2,PlayEquip 3,Playground Equipment,Stuart Park,"34 Meigs Cres, Stuart Park",Dinah Beach Park,Dinah Park,57,Playgrounds
130.844337012551449,-12.449155030875419,3,PlayEquip 4,Playground Equipment,Stuart Park,"8 Gothenburg Cres, Stuart Park",Que Noy Park,Que Noy Park,57,Playgrounds
130.836365969425344,-12.423038988214881,4,PlayEquip 5,Playground Equipment,Fannie Bay,"6 Elizabeth St, Fannie Bay",Ken Waters Memorial,Ken Waters Memorial Park,57,Playgrounds
130.842071980633222,-12.445413979090256,5,PlayEquip 6,Playground Equipment,Stuart Park,"8 Westralia St, Stuart Park",Bill Sullivan Park,Bill Sullivan Park,57,Playgrounds
130.874769525049715,-12.385060317607207,6,PlayEquip 7,Playground Equipment,Jingili,"8 Kilian Cres, Jingili",Killian Park,Killian Park,57,Playgrounds
130.84310843581747,-12.451093076277512,7,PlayEquip 8,Playground Equipment,Stuart Park,"12 Duke St, Stuart Park",Duke Street Park,Duke Street Park,57,Playgrounds
130.830522413545538,-12.412731109121651,8,PlayEquip 10,Playground Equipment,East Point,"152 Alec Fong Lim Dr, East Point",Lake Alexander,Lake Alexander Surrounds,57,Playgrounds
130.882259444063379,-12.382010011717901,9,PlayEquip 11,Playground Equipment,Wagaman,"20 Colster Cres, Wagaman",Colster Park,Colster Park,57,Playgrounds
130.868226010371245,-12.391535964671593,10,PlayEquip 12,Playground Equipment,Millner,"Trower Road to McMillans Road, Millner",Rapid Creek Reserve,Rapid Creek Road,57,Playgrounds
130.83746079471868,-12.426682159082176,11,PlayEquip 13,Playground Equipment,Fannie Bay,"10 Allen St, Fannie Bay",Allen Park,Allen Park,57,Playgrounds
130.830808996306189,-12.455563959597681,12,PlayEquip 14,Playground Equipment,Larrakeyah,"2 Malabar Street, Larrakeyah",Malabar Park,Malabar Park,57,Playgrounds
130.82642600156953,-12.454156998889387,13,PlayEquip 15,Playground Equipment,Larrakeyah,"Cullen Bay Cresent - Temira Cres,  Larrakeyah",Road Reserve - Temer,Kahlin Oval-District,57,Playgrounds
130.832716787515778,-12.444129760032263,14,PlayEquip 16,Playground Equipment,The Gardens,"73 Gilruth Avenue, The Gardens",Mindil Beach Market,Mindil Beach - Market Area,57,Playgrounds
130.835206056061907,-12.431170867518436,15,PlayEquip 17,Playground Equipment,Fannie Bay,"39 East Point Rd, Fannie Bay",Vesteys Beach,Vestey's Beach,57,Playgrounds
130.835063972411206,-12.431521022021068,16,PlayEquip 18,Playground Equipment,Fannie Bay,"39 East Point Rd, Fannie Bay",Vesteys Beach,Vestey's Beach,57,Playgrounds
130.831783968410974,-12.453265019064812,17,PlayEquip 19,Playground Equipment,Larrakeyah,"176 Smith St, Larrakeyah",Warrego Park,Warrego Park,57,Playgrounds
130.831920037031409,-12.453287954898494,18,PlayEquip 20,Playground Equipment,Larrakeyah,"177 Smith St, Larrakeyah",Warrego Park,Warrego Park,57,Playgrounds
